an_entry_id,an_person_id,clctr_name,is_couple
ACE516,APE516b,Maxine and Stuart Frankel,1
ACE519,APE519a,Janine and J. Tomilson Hill,1
ACE519,APE519b,Janine and J. Tomilson Hill,1
ACE521,APE521a,Anne and John Marion,1
ACE521,APE521b,Anne and John Marion,1
ACE523,APE523a,Cindy and Howard Rachofsky,1
ACE523,APE523b,Cindy and Howard Rachofsky,1
ACE525,APE525a,Tsuneo and Eiichiro Sudo,1
ACE525,APE525b,Tsuneo and Eiichiro Sudo,1
ACE527,APE527a,Ruth and William True,1
ACE527,APE527b,Ruth and William True,1
ACE530,APE530a,Annette and Udo Brandhorst,1
ACE530,APE530b,Annette and Udo Brandhorst,1
ACE531,APE531a,Melva Bucksbaum and Raymond Learsy,1
ACE531,APE531b,Melva Bucksbaum and Raymond Learsy,1
ACE535,APE535a,Danielle and David Ganek,1
ACE535,APE535b,Danielle and David Ganek,1
ACE537,APE537a,Susan and Michael Hort,1
ACE537,APE537b,Susan and Michael Hort,1
ACE539,APE539a,Jeanne and Michael L. Klein,1
ACE539,APE539b,Jeanne and Michael L. Klein,1
ACE540,APE540a,Sarah-Ann and Werner H. Kramarsky,1
ACE540,APE540b,Sarah-Ann and Werner H. Kramarsky,1
ACE541,APE541a,Jill and Peter Kraus,1
ACE541,APE541b,Jill and Peter Kraus,1
ACE543,APE543a,Sherry and Joel Mallin,1
ACE543,APE543b,Sherry and Joel Mallin,1
ACE544,APE544a,Carol and Stewart Rahr,1
ACE544,APE544b,Carol and Stewart Rahr,1
ACE548,APE548a,Abigail and Leslie H. Wexner,1
ACE548,APE548b,Abigail and Leslie H. Wexner,1
ACE550,APE550a,Kenneth C. Griffin and Anne Dias,1
ACE550,APE550b,Kenneth C. Griffin and Anne Dias,1
ACE552,APE552a,Anne and Jerome Fisher,1
ACE552,APE552b,Anne and Jerome Fisher,1
ACE555,APE555a,Ninah and Michael Lynne,1
ACE555,APE555b,Ninah and Michael Lynne,1
ACE556,APE556a,Susan and John Magnier,1
ACE556,APE556b,Susan and John Magnier,1
ACE558,APE558a,Elizabeth and Harvey Plotnick,1
ACE558,APE558b,Elizabeth and Harvey Plotnick,1
ACE563,APE563a,Leonora and Jimmy Belilty,1
ACE563,APE563b,Leonora and Jimmy Belilty,1
ACE565,APE565a,Monique and Max Burger,1
ACE565,APE565b,Monique and Max Burger,1
ACE566,APE566a,Cherryl and Frank Cohen,1
ACE566,APE566b,Cherryl and Frank Cohen,1
ACE569,APE569a,Kathleen and Richard S. Fuld Jr.,1
ACE569,APE569b,Kathleen and Richard S. Fuld Jr.,1
ACE570,APE570a,Ann and Graham Gund,1
ACE570,APE570b,Ann and Graham Gund,1
ACE571,APE571a,Margrit and Paul Hahnloser,1
ACE571,APE571b,Margrit and Paul Hahnloser,1
ACE572,APE572a,Adam Lindemann and Amalia Dayan,1
ACE572,APE572b,Adam Lindemann and Amalia Dayan,1
ACE573,APE573a,Margaret Munzer Loeb and Daniel S. Loeb,1
ACE573,APE573b,Margaret Munzer Loeb and Daniel S. Loeb,1
ACE574,APE574a,Frances G. and James W. McGlothlin,1
ACE574,APE574b,Frances G. and James W. McGlothlin,1
ACE576,APE576a,Julie and Edward J. Minskoff,1
ACE576,APE576b,Julie and Edward J. Minskoff,1
ACE578,APE578a,Marsha and Jeffrey Perelman,1
ACE578,APE578b,Marsha and Jeffrey Perelman,1
ACE579,APE579a,Miuccia Prada and Patrizio Bertelli,1
ACE579,APE579b,Miuccia Prada and Patrizio Bertelli,1
ACE580,APE580a,Lisa and John A. Pritzker,1
ACE580,APE580b,Lisa and John A. Pritzker,1
ACE586,APE586a,Lauren and Benedikt Taschen,1
ACE586,APE586b,Lauren and Benedikt Taschen,1
ACE588,APE588a,Elaine and Stephen A. Wynn,1
ACE588,APE588b,Elaine and Stephen A. Wynn,1
ACE589,APE589a,Hélène and Bernard Arnault,1
ACE589,APE589b,Hélène and Bernard Arnault,1
ACE590,APE590a,Maria Arena Bell and William Bell Jr.,1
ACE590,APE590b,Maria Arena Bell and William Bell Jr.,1
ACE591,APE591a,Karen and Christian Boros,1
ACE591,APE591b,Karen and Christian Boros,1
ACE593,APE593a,Peggy and Ralph Burnet,1
ACE593,APE593b,Peggy and Ralph Burnet,1
ACE597,APE597a,Agnes and Karlheinz Essl,1
ACE597,APE597b,Agnes and Karlheinz Essl,1
ACE598,APE598a,Geraldine and Noam Gottesman,1
ACE598,APE598b,Geraldine and Noam Gottesman,1
ACE599,APE599a,Mania and Bernhard Hahnloser,1
ACE599,APE599b,Mania and Bernhard Hahnloser,1
ACE600,APE600a,Christine and Andrew Hall,1
ACE600,APE600b,Christine and Andrew Hall,1
ACE602,APE602a,Cindy and Alan Horn,1
ACE602,APE602b,Cindy and Alan Horn,1
ACE604,APE604a,Anneliese and Gerhard Lenz,1
ACE604,APE604b,Anneliese and Gerhard Lenz,1
ACE605,APE605a,Jane and Richard Manoogian,1
ACE605,APE605b,Jane and Richard Manoogian,1
ACE607,APE607a,Lisa and Steve Tananbaum,1
ACE607,APE607b,Lisa and Steve Tananbaum,1
ACE611,APE611a,Eileen and Michael Cohen,1
ACE611,APE611b,Eileen and Michael Cohen,1
ACE613,APE613a,Nathalie and Charles de Gunzburg,1
ACE613,APE613b,Nathalie and Charles de Gunzburg,1
ACE614,APE614a,Deedie and Rusty Rose,1
ACE614,APE614b,Deedie and Rusty Rose,1
ACE616,APE616a,Dana and Jim Tananbaum,1
ACE616,APE616b,Dana and Jim Tananbaum,1
ACE617,APE617a,Roman Abramovich and Dasha Zhukova,1
ACE617,APE617b,Roman Abramovich and Dasha Zhukova,1
ACE619,APE619a,"Robert H., Jereann H., and Holland Chaney",1
ACE619,APE619b,"Robert H., Jereann H., and Holland Chaney",1
ACE620,APE620a,Frank J. Fertitta III and Lorenzo Fertitta,1
ACE620,APE620b,Frank J. Fertitta III and Lorenzo Fertitta,1
ACE621,APE621a,Diane and Bruce Halle,1
ACE621,APE621b,Diane and Bruce Halle,1
ACE623,APE623a,Mimi and Filiep Libeert,1
ACE623,APE623b,Mimi and Filiep Libeert,1
ACE626,APE626a,Lynda and Stewart Resnick,1
ACE626,APE626b,Lynda and Stewart Resnick,1
ACE627,APE627a,Myriam and Guy Ullens,1
ACE627,APE627b,Myriam and Guy Ullens,1
ACE628,APE628a,Maria Baibakova and Oleg Baybakov,1
ACE628,APE628b,Maria Baibakova and Oleg Baybakov,1
ACE629,APE629a,Marijke and Willem Cordia,1
ACE629,APE629b,Marijke and Willem Cordia,1
ACE631,APE631a,Ingrid and Hugo Jung,1
ACE631,APE631b,Ingrid and Hugo Jung,1
ACE632,APE632a,Nancy and Robert Magoon,1
ACE632,APE632b,Nancy and Robert Magoon,1
ACE633,APE633a,Susan and Larry Marx,1
ACE633,APE633b,Susan and Larry Marx,1
ACE635,APE635a,Amy and John Phelan,1
ACE635,APE635b,Amy and John Phelan,1
ACE636,APE636a,Penny Pritzker and Bryan Traubert,1
ACE636,APE636b,Penny Pritzker and Bryan Traubert,1
ACE637,APE637a,Lenore and Adam Sender,1
ACE637,APE637b,Lenore and Adam Sender,1
ACE640,APE640a,Iris and Matthew Strauss,1
ACE640,APE640b,Iris and Matthew Strauss,1
ACE641,APE641a,Robbi and Bruce E. Toll,1
ACE641,APE641b,Robbi and Bruce E. Toll,1
ACE643,APE643a,Laura and John Arnold,1
ACE643,APE643b,Laura and John Arnold,1
ACE644,APE644a,Cees and Inge de Bruin-Heijn,1
ACE644,APE644b,Cees and Inge de Bruin-Heijn,1
ACE645,APE645a,Alexandra and Steven A. Cohen,1
ACE645,APE645b,Alexandra and Steven A. Cohen,1
ACE648,APE648a,Amanda and Glenn R. Fuhrman,1
ACE648,APE648b,Amanda and Glenn R. Fuhrman,1
ACE650,APE650a,Catherine and Pierre Lagrange,1
ACE650,APE650b,Catherine and Pierre Lagrange,1
ACE651,APE651a,Paula and Peter H. Lunder,1
ACE651,APE651b,Paula and Peter H. Lunder,1
ACE653,APE653a,Emily and Mitchell Rales,1
ACE653,APE653b,Emily and Mitchell Rales,1
ACE656,APE656a,Barbara and John Vogelstein,1
ACE656,APE656b,Barbara and John Vogelstein,1
ACE659,APE659a,Bettina and Donald L. Bryant Jr.,1
ACE659,APE659b,Bettina and Donald L. Bryant Jr.,1
ACE663,APE663a,Suna and Inan Kiraç,1
ACE663,APE663b,Suna and Inan Kiraç,1
ACE664,APE664a,Liz and Eric Lefkofsky,1
ACE664,APE664b,Liz and Eric Lefkofsky,1
ACE667,APE667a,Edith and Mark Vanmoerkerke,1
ACE667,APE667b,Edith and Mark Vanmoerkerke,1
ACE668,APE668a,Shelley Fox Aarons and Philip E. Aarons,1
ACE668,APE668b,Shelley Fox Aarons and Philip E. Aarons,1
ACE670,APE670a,Caryl and Israel Englander,1
ACE670,APE670b,Caryl and Israel Englander,1
ACE672,APE672a,Florence and Daniel Guerlain,1
ACE672,APE672b,Florence and Daniel Guerlain,1
ACE673,APE673a,Barbara and Axel Haubrok,1
ACE673,APE673b,Barbara and Axel Haubrok,1
ACE675,APE675a,Alison and Peter W. Klein,1
ACE675,APE675b,Alison and Peter W. Klein,1
ACE677,APE677a,Barbara and Aaron Levine,1
ACE677,APE677b,Barbara and Aaron Levine,1
ACE678,APE678a,Pamela and Jarl Mohn,1
ACE678,APE678b,Pamela and Jarl Mohn,1
ACE679,APE679a,Rose-Marie and Eijk van Otterloo,1
ACE679,APE679b,Rose-Marie and Eijk van Otterloo,1
ACE680,APE680a,Heather and Tony Podesta,1
ACE680,APE680b,Heather and Tony Podesta,1
ACE682,APE682a,Christiane Schaufler-Münch and Peter Schaufler,1
ACE682,APE682b,Christiane Schaufler-Münch and Peter Schaufler,1
ACE684,APE684a,Sylvia and Ulrich Ströher,1
ACE684,APE684b,Sylvia and Ulrich Ströher,1
ACE687,APE687a,Jane and Robert Toll,1
ACE687,APE687b,Jane and Robert Toll,1
ACE688,APE688a,Wang Wei and Liu Yiqian,1
ACE688,APE688b,Wang Wei and Liu Yiqian,1
ACE689,APE689a,Jutta and Siegfried Weishaupt,1
ACE689,APE689b,Jutta and Siegfried Weishaupt,1
ACE693,APE693a,Robert and Renee Drake,1
ACE693,APE693b,Robert and Renee Drake,1
ACE696,APE696a,Steven Latner and Michael Latner,1
ACE696,APE696b,Steven Latner and Michael Latner,1
ACE697,APE697a,Maurice Marciano and Paul Marciano,1
ACE697,APE697b,Maurice Marciano and Paul Marciano,1
ACE701,APE701a,Andrea and José Olympio Pereira,1
ACE701,APE701b,Andrea and José Olympio Pereira,1
ACE703,APE703a,Vicki and Roger Sant,1
ACE703,APE703b,Vicki and Roger Sant,1
ACE710,APE710a,Trudy and Paul Cejas,1
ACE710,APE710b,Trudy and Paul Cejas,1
ACE712,APE712a,Isabel and Agustín Coppel,1
ACE712,APE712b,Isabel and Agustín Coppel,1
ACE714,APE714a,Mitzi and Warren Eisenberg,1
ACE714,APE714b,Mitzi and Warren Eisenberg,1
ACE715,APE715a,Rebecca and Martin Eisenberg,1
ACE715,APE715b,Rebecca and Martin Eisenberg,1
ACE717,APE717a,Susan and Leonard Feinstein,1
ACE717,APE717b,Susan and Leonard Feinstein,1
ACE718,APE718a,Marilyn and Larry Fields,1
ACE718,APE718b,Marilyn and Larry Fields,1
ACE719,APE719a,Christy and Bill Gautreaux,1
ACE719,APE719b,Christy and Bill Gautreaux,1
ACE723,APE723a,Raymond J. McGuire and Crystal McCrary,1
ACE723,APE723b,Raymond J. McGuire and Crystal McCrary,1
ACE724,APE724a,Tom and Margot Pritzker,1
ACE724,APE724b,Tom and Margot Pritzker,1
ACE726,APE726a,Hilary and Wilbur L. Ross Jr.,1
ACE726,APE726b,Hilary and Wilbur L. Ross Jr.,1
ACE729,APE729a,Elizabeth and Frederick Singer,1
ACE729,APE729b,Elizabeth and Frederick Singer,1
ACE730,APE730a,Susana and Ricardo Steinbruch,1
ACE730,APE730b,Susana and Ricardo Steinbruch,1
ACE734,APE734a,Anita and Poju Zabludowicz,1
ACE734,APE734b,Anita and Poju Zabludowicz,1
ACE735,APE735a,James Keith (JK) Brown and Eric Diefenbach,1
ACE735,APE735b,James Keith (JK) Brown and Eric Diefenbach,1
ACE739,APE739a,Yassmin and Sasan Ghandehari,1
ACE739,APE739b,Yassmin and Sasan Ghandehari,1
ACE741,APE741a,Hong Ra-hee and Lee Kun-hee,1
ACE741,APE741b,Hong Ra-hee and Lee Kun-hee,1
ACE745,APE745a,Nina and Frank Moore,1
ACE745,APE745b,Nina and Frank Moore,1
ACE746,APE746a,Catriona and Simon Mordant,1
ACE746,APE746b,Catriona and Simon Mordant,1
ACE747,APE747a,Genny and Selmo Nissenbaum,1
ACE747,APE747b,Genny and Selmo Nissenbaum,1
ACE748,APE748a,Lisa and Richard Perry,1
ACE748,APE748b,Lisa and Richard Perry,1
ACE749,APE749a,Sabine and Hasso Plattner,1
ACE749,APE749b,Sabine and Hasso Plattner,1
ACE752,APE752a,Linnea Conrad Roberts and George Roberts,1
ACE752,APE752b,Linnea Conrad Roberts and George Roberts,1
ACE754,APE754a,Elham and Tony Salamé,1
ACE754,APE754b,Elham and Tony Salamé,1
ACE755,APE755a,Nadia and Rajeeb Samdani,1
ACE755,APE755b,Nadia and Rajeeb Samdani,1
ACE757,APE757a,Brett and Daniel S. Sundheim,1
ACE757,APE757b,Brett and Daniel S. Sundheim,1
ACE761,APE761a,Halit Cingillioglu and Kemal Has Cingillioglu,1
ACE761,APE761b,Halit Cingillioglu and Kemal Has Cingillioglu,1
ACE763,APE763a,Michael C. Forman and Jennifer Rice,1
ACE763,APE763b,Michael C. Forman and Jennifer Rice,1
ACE765,APE765a,Pamela J. Joyner and Alfred J. Giuffrida,1
ACE765,APE765b,Pamela J. Joyner and Alfred J. Giuffrida,1
ACE770,APE770a,Sheri and Howard Schultz,1
ACE770,APE770b,Sheri and Howard Schultz,1
ACE772,APE772a,Anne and Wolfgang Titze,1
ACE772,APE772b,Anne and Wolfgang Titze,1
ACE773,APE773a,Patricia Pearson-Vergez and Juan Vergez,1
ACE773,APE773b,Patricia Pearson-Vergez and Juan Vergez,1
ACE776,APE776a,Laura Arrillaga-Andreessen and Marc Andreessen,1
ACE776,APE776b,Laura Arrillaga-Andreessen and Marc Andreessen,1
ACE778,APE778a,Tracey and Bruce R. Berkowitz,1
ACE778,APE778b,Tracey and Bruce R. Berkowitz,1
